,adj_close_BAC,high_BAC,low_BAC,open_BAC,volume_BAC,adj_close_AAPL,high_AAPL,low_AAPL,open_AAPL,volume_AAPL,adj_close_AMZN,high_AMZN,low_AMZN,open_AMZN,volume_AMZN,adj_close_QCOM,high_QCOM,low_QCOM,open_QCOM,volume_QCOM,close_price_$NDX,close_price_$SPX
1474959600,15.2358952583,15.34,14.81,15.01,81992627.0,112.506111413,113.18,112.34,113.0,24607412.0,816.11,816.64,801.11,801.85,3819600.0,62.8138547982,63.36,62.44,62.53,5228334.0,955.650024,2159.929932
1474873200,15.0366029724,15.44,15.02,15.4,94947767.0,112.297195652,113.39,111.55,111.64,29869442.0,799.16,805.93,797.145,801.8,2651397.0,61.821691557,62.56,61.86,62.49,6207366.0,948.76001,2146.100098
1474614000,15.4650813871,15.67,15.5,15.53,51578372.0,112.12807337,114.79,111.55,114.42,52481151.0,805.75,807.75,802.12,803.13,2353511.0,62.2582433831,63.57,62.67,63.0,7794722.0,957.950012,2164.689941
1474527600,15.5447983015,15.71,15.5,15.69,75586903.0,114.028211957,114.94,114.0,114.35,31073984.0,804.7,805.889,794.27,794.27,4078910.0,63.0222090788,64.0,63.36,63.71,7895710.0,963.200012,2177.179932
1474441200,15.594621373,15.83,15.39,15.71,95464559.0,112.963736413,113.989,112.441,113.85,36003185.0,789.74,790.69,779.01,783.25,2718644.0,63.0718172409,63.64,62.91,63.1,7488588.0,957.25,2163.120117
1474354800,15.5447983015,15.76,15.51,15.74,68201707.0,112.983633152,114.12,112.51,113.05,34514269.0,780.22,781.37,776.0,776.0,1937164.0,62.2086352211,63.3,62.53,63.27,5471416.0,948.77002,2139.76001
1474268400,15.5348336872,15.78,15.55,15.55,66168885.0,112.993581522,116.18,113.25,115.19,47023046.0,775.1,781.94,771.0,779.97,2297221.0,62.3673813396,63.39,62.76,63.13,6759881.0,947.349976,2139.120117
1474009200,15.4351875442,15.68,15.48,15.66,90873348.0,114.326663043,116.13,114.04,115.12,79886911.0,778.52,780.46,771.66,773.28,5499182.0,62.496362561,63.44,62.37,62.88,14677679.0,948.799988,2139.159912
1473922800,15.6145506016,15.745,15.58,15.64,67883486.0,114.973307065,115.73,113.49,113.86,90613177.0,769.69,770.87,757.58,762.0,3043534.0,62.0498891025,62.67,61.55,61.95,8886405.0,952.599976,2147.26001
1473836400,15.5746921444,15.84,15.56,15.67,75517820.0,111.19292663,113.03,108.6,108.73,112340318.0,761.09,767.5,758.85,762.2,2531822.0,61.1073340234,61.95,61.04,61.29,5993289.0,943.289978,2125.77002
1473750000,15.664373673,15.86,15.55,15.67,89317564.0,107.392649457,108.79,107.24,107.51,62176190.0,761.01,769.89,759.05,768.77,3117224.0,60.809685051,62.2,60.94,61.82,8397124.0,943.330017,2127.02002
1473663600,15.8437367304,15.94,15.48,15.65,109723978.0,104.895608696,105.72,102.53,102.65,45292770.0,771.49,772.66,756.0,757.35,3124704.0,61.7621617625,62.27,59.93,60.23,10158630.0,956.200012,2159.040039
1473404400,15.6843029016,16.15,15.74,15.91,135182534.0,102.597535326,105.72,103.13,104.64,46556984.0,760.14,781.0,760.11,779.36,4257344.0,60.0457193553,62.29,60.5,62.01,10625610.0,942.619995,2127.810059
1473318000,15.8038782732,15.94,15.68,15.77,69292664.0,104.975195652,107.27,105.24,107.25,53002026.0,784.06,786.5,781.44,783.89,2030511.0,62.1987135886,62.81,62.005,62.03,7698134.0,964.340027,2181.300049
1473231600,15.6444444444,15.85,15.65,15.72,63284147.0,107.800532609,108.76,107.07,107.83,42364328.0,784.48,790.79,784.33,789.53,2424622.0,61.9407511459,63.25,62.32,63.19,6281596.0,966.119995,2186.159912
1473145200,15.7241613588,16.06,15.7,16.05,96503738.0,107.143940217,108.3,107.51,107.9,26880391.0,788.87,789.48,770.22,774.04,3719788.0,62.5955788851,63.39,62.88,63.12,5603002.0,966.840027,2186.47998
1472799600,15.9433828733,16.06,15.82,15.94,100972145.0,107.173785326,108.0,106.82,107.7,26802450.0,772.44,776.0,771.7,774.11,2181792.0,62.8535413278,63.7,63.09,63.53,6325874.0,963.669983,2179.97998
1472713200,15.9234536447,16.15,15.75,16.15,128812599.0,106.17894837,106.8,105.62,106.14,26701523.0,770.62,772.04,766.75,770.9,1792271.0,62.9726009168,63.5,62.51,62.87,6906300.0,960.23999,2170.860107
1472626800,16.0828874735,16.24,15.88,16.21,127664267.0,105.552201087,106.5699,105.64,105.66,29662406.0,769.16,769.64,764.0,766.6,1633789.0,62.5757356203,63.12,62.53,62.98,6516564.0,960.080017,2170.949951
1472540400,16.0580911622,16.23,15.8,15.87,121173617.0,105.452717391,106.5,105.5,105.8,24863945.0,767.58,771.8358,765.56,771.05,1709158.0,62.4467543989,63.51,62.71,63.0,5047613.0,961.780029,2176.120117
1472454000,15.7109428048,16.01,15.775,15.81,120111303.0,106.268483696,107.44,106.29,106.62,24970300.0,771.29,774.98,768.6,768.72,2198560.0,62.4864409286,63.085,62.37,62.42,5354712.0,963.549988,2180.379883
1472194800,15.6613501823,15.9,15.58,15.61,126886261.0,106.38786413,107.95,106.31,107.41,27766291.0,769.0,770.0,759.795,760.05,2776830.0,61.9551438399,63.51,62.65,62.89,7255608.0,959.059998,2169.040039
1472108400,15.4034685453,15.54,15.4,15.42,67624942.0,107.014611413,107.88,106.68,107.39,25086248.0,759.22,760.56,754.741,756.0,1622992.0,61.6304622857,62.96,62.58,62.67,4916719.0,959.809998,2172.469971
1472022000,15.2745277269,15.5,15.36,15.37,65415804.0,107.472236413,108.75,107.68,108.565,23675081.0,757.25,763.41,755.36,763.0,1744107.0,61.6009457808,63.24,62.47,62.92,6902405.0,961.460022,2175.439941
1471935600,15.2249351044,15.41,15.26,15.26,67798132.0,108.288002717,109.32,108.53,108.59,21257669.0,762.45,764.7,761.0,763.31,1524131.0,62.0732098596,63.69,62.83,63.0,5970672.0,965.390015,2186.899902
1471849200,15.0563201879,15.25,15.12,15.2,60877097.0,107.949758152,109.1,107.85,108.86,25820230.0,759.48,759.85,752.1,757.5,1679251.0,61.8174001503,62.87,62.35,62.7,5721165.0,964.150024,2182.639893
1471590000,15.0959942859,15.25,15.05,15.13,59800158.0,108.795369565,109.69,108.36,108.77,25368072.0,757.31,762.49,756.89,761.9,2343237.0,61.7485283054,62.84,62.01,62.61,7092997.0,964.799988,2183.870117
1471503600,15.0364831389,15.24,15.06,15.11,62804324.0,108.516815217,109.6,109.02,109.23,21984703.0,764.46,765.17,760.6,764.0,1458834.0,62.0240156847,63.04,62.1775,62.35,7935943.0,967.080017,2187.02002
1471417200,15.0265646144,15.24,15.08,15.16,93372229.0,108.656092391,109.37,108.34,109.1,25355976.0,764.63,765.22,759.199,764.41,1891116.0,61.2762642266,62.4,61.79,62.22,6812379.0,966.48999,2182.219971
1471330800,15.0464016634,15.19,14.93,14.97,80307508.0,108.815266304,110.23,109.21,109.63,33794448.0,764.04,768.7317,763.82,768.62,1604561.0,61.0696486921,62.5,61.76,62.08,7651256.0,964.559998,2178.149902
1471244400,14.897623796,15.03,14.945,14.97,48592071.0,108.91475,109.54,108.08,108.14,25868209.0,768.49,772.04,767.71,771.9,2118521.0,61.4238467512,62.49,61.8,61.8,6498977.0,968.820007,2190.149902
1470985200,14.7885200265,14.91,14.7,14.77,63022911.0,107.621461957,108.44,107.78,107.78,18660434.0,772.56,773.15,768.4225,768.46,1563318.0,60.715450633,61.99,61.28,61.54,4947656.0,966.51001,2184.050049
1470898800,14.758764453,14.97,14.745,14.83,68945407.0,107.372752717,108.93,107.85,108.52,27484506.0,771.24,773.75,769.12,769.94,2019740.0,60.7449671379,62.155,61.67,61.89,4988258.0,967.659973,2185.790039
